# c-balanced Latin square
# n=93
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
38,54,18,1,31,28,50,3,5,51,13,74,19,91,22,14,60,30,73,72,2,82,66,89,47,84,80,34,33,52,81,39,6,42,85,7,65,11,24,56,63,35,49,41,67,61,90,68,88,16,57,23,87,36,92,78,86,29,79,59,20,4,48,43,53,69,45,17,75,25,62,26,93,64,10,70,76,77,55,21,44,83,15,9,46,32,12,37,8,40,27,58,71
39,76,71,48,33,57,77,78,51,29,9,83,10,26,89,15,27,12,40,61,70,1,56,28,69,35,38,79,36,53,46,50,90,20,64,80,60,32,3,34,23,59,44,37,8,75,74,55,31,62,2,30,17,11,93,72,43,52,58,63,73,91,42,19,13,54,65,49,21,85,7,92,81,47,41,68,18,16,14,66,45,22,86,88,82,67,84,25,6,5,87,24,4
40,84,67,75,82,23,20,68,17,63,7,32,58,42,81,45,46,36,87,6,43,13,85,21,8,48,19,49,9,25,88,30,24,55,91,56,92,41,47,18,52,86,14,93,54,10,4,12,79,83,77,70,60,22,51,66,89,27,16,71,5,76,31,72,34,80,3,62,90,64,65,37,15,69,44,53,11,78,33,28,74,38,57,50,29,35,26,2,73,39,1,61,59
41,65,16,62,34,25,4,2,73,18,60,5,88,53,87,90,86,24,7,79,75,49,27,22,37,77,74,45,31,83,29,11,72,59,44,35,28,21,66,1,69,13,15,39,26,32,17,71,6,78,38,82,67,47,64,84,3,46,61,57,50,33,55,85,89,92,48,9,70,68,14,8,12,58,19,20,91,10,43,40,81,51,76,63,42,52,80,93,30,54,56,36,23
42,44,20,56,14,55,85,92,43,36,93,30,26,82,24,76,11,47,78,91,23,52,81,3,62,10,64,58,70,16,61,41,63,12,33,27,51,57,4,89,9,68,28,73,87,5,50,46,40,48,19,37,80,45,13,8,69,15,39,54,75,74,83,25,86,59,1,67,84,71,18,49,88,29,6,2,38,35,65,31,17,79,32,77,60,53,7,34,21,90,66,22,72
43,74,69,59,50,6,21,79,39,15,80,57,66,63,37,29,8,32,38,35,12,64,19,31,71,54,40,17,73,68,85,22,23,34,18,93,67,53,2,58,77,7,88,16,33,60,76,84,3,1,14,72,42,25,90,91,65,44,41,81,92,30,9,28,56,87,61,4,11,46,82,51,24,36,86,26,89,52,70,62,5,48,27,10,49,20,45,78,55,75,13,83,47
88,61,72,70,52,22,66,91,28,49,33,10,90,84,25,48,35,67,77,44,9,5,46,50,18,11,4,1,65,21,75,89,47,86,15,92,62,83,19,55,40,20,78,81,24,82,51,6,13,53,45,7,26,43,31,63,2,37,85,34,14,36,32,27,93,38,79,29,42,30,59,17,3,80,60,73,23,58,56,41,54,69,87,8,71,76,64,57,39,74,12,68,16
45,83,86,17,12,93,90,60,64,54,31,1,69,3,70,16,59,89,13,55,39,30,68,76,2,92,14,61,51,32,26,36,42,5,8,10,38,48,74,78,57,71,75,11,79,27,85,29,65,56,73,34,9,49,35,87,21,80,66,23,40,62,58,52,88,84,41,47,20,22,50,72,53,28,7,25,77,4,63,91,6,81,67,33,24,43,15,82,44,19,46,37,18
46,51,73,87,37,4,38,13,27,58,34,8,62,41,71,23,20,2,63,80,18,53,17,78,91,15,67,72,66,57,56,28,7,84,81,29,69,52,82,76,90,43,31,36,25,22,39,30,47,54,49,68,44,59,24,16,6,48,33,64,19,10,77,26,12,35,60,55,74,83,5,61,45,40,75,93,32,92,50,89,1,11,88,14,21,65,79,42,86,3,70,85,9
47,77,9,19,35,80,58,26,41,83,89,81,68,40,56,75,82,85,1,65,88,74,29,14,86,42,44,6,43,24,10,33,60,79,27,25,49,45,87,50,70,17,61,3,46,2,64,21,92,8,93,18,20,32,7,12,55,11,22,53,67,90,54,5,73,78,76,57,15,91,52,63,13,23,37,71,4,39,59,84,16,34,66,36,30,62,69,28,72,38,48,51,31
