# c-balanced sequence
# n=97
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
43,76,68,19,92,16,88,72,13,37,77,62,47,25,34,8,33,23,81,7,27,59,14,54,38,1,48,36,11,87,85,39,90,58,83,22,75,69,24,10,64,66,60,84,2,46,96,12,70,56,18,52,61,31,41,74,53,71,5,21,32,20,35,49,17,63,86,79,29,26,91,57,73,65,50,15,55,42,82,97,94,67,44,80,28,78,4,93,51,45,89,40,6,30,9,3,95
36,93,71,12,85,32,45,82,74,29,92,90,84,50,22,94,78,3,64,44,46,91,30,15,4,2,89,56,63,42,43,41,47,17,55,76,80,66,7,51,13,40,6,23,38,97,79,65,95,37,57,25,72,20,9,67,73,10,70,48,75,69,26,27,11,16,34,33,54,35,39,21,81,68,96,87,18,61,88,8,86,59,49,83,52,31,53,19,62,1,28,77,24,58,5,14,60
35,95,77,54,66,31,42,86,70,73,55,15,89,65,59,74,53,21,27,52,24,26,83,33,5,18,78,68,97,32,60,28,96,20,29,19,9,57,39,49,81,1,85,58,87,14,88,76,51,43,82,34,69,7,3,92,6,50,36,62,47,41,8,2,13,61,93,4,80,22,38,17,48,94,72,10,45,91,56,37,71,30,46,40,12,79,11,84,90,67,23,25,16,64,44,63,75
38,64,56,8,9,67,79,40,81,61,91,41,58,17,87,62,51,10,80,1,49,34,75,84,11,69,6,23,24,72,16,71,7,26,93,48,73,3,78,96,63,52,44,12,53,37,4,94,90,19,30,74,86,45,33,35,42,28,13,89,22,46,60,25,32,97,83,66,14,59,76,77,85,5,47,20,31,39,70,68,57,95,82,18,2,88,36,43,21,50,55,15,65,92,27,54,29
39,82,72,66,14,87,47,19,63,48,10,25,36,2,46,16,57,70,60,18,50,85,38,44,20,43,13,61,12,54,77,45,67,31,30,28,65,88,62,90,59,97,95,92,5,32,83,80,68,21,1,29,27,75,15,81,91,58,40,55,78,76,52,79,84,51,11,94,73,56,6,9,23,71,86,89,49,74,22,24,17,69,64,41,3,35,7,37,53,8,33,26,96,34,4,42,93
37,83,4,6,20,30,89,68,53,35,21,69,5,3,95,7,86,91,75,79,88,29,39,93,63,17,9,27,96,33,34,94,15,76,36,49,56,74,22,2,55,77,11,42,41,71,67,45,8,50,84,81,73,87,80,24,66,31,57,14,26,18,65,10,92,64,28,82,23,44,43,58,40,78,19,54,25,16,47,60,38,51,1,85,48,62,72,90,46,13,61,59,70,97,32,52,12
44,52,26,1,23,24,34,48,28,11,22,94,51,13,42,90,92,45,71,58,65,82,31,32,16,40,70,80,35,62,8,14,73,86,46,97,47,84,61,12,17,21,36,56,64,15,89,25,27,54,4,59,9,78,60,85,30,19,38,63,83,43,29,33,72,53,81,55,18,87,96,41,69,37,75,3,95,67,93,7,2,6,77,91,5,50,39,66,68,79,74,20,88,57,49,76,10
41,57,85,3,76,25,96,69,59,93,43,23,60,52,12,18,67,97,90,40,78,68,55,22,49,58,77,81,37,19,95,2,6,88,24,87,64,82,33,26,38,50,91,54,35,66,72,92,44,47,10,16,53,11,70,79,94,46,1,39,20,51,5,56,74,21,48,30,7,36,34,61,84,8,62,27,42,65,4,15,28,32,9,29,75,63,13,14,80,86,71,17,73,89,45,31,83
96,50,75,7,29,15,8,2,84,56,33,30,71,72,55,76,39,54,5,73,42,4,53,62,25,10,66,20,21,41,9,3,79,74,13,51,28,1,27,45,89,18,83,34,61,23,69,31,86,46,6,48,49,43,32,65,17,88,37,95,68,24,14,67,91,77,60,57,40,12,93,63,11,97,70,36,52,92,80,90,44,64,58,26,16,81,94,59,22,87,85,38,47,78,82,35,19
46,61,63,59,80,78,38,65,29,27,88,32,74,19,31,37,83,64,11,8,35,36,48,81,60,87,47,86,14,91,89,57,92,10,94,68,70,52,85,7,72,16,75,43,13,17,22,90,93,28,40,20,5,71,26,77,12,82,34,97,23,58,15,4,44,9,2,50,62,45,42,1,3,53,49,21,73,30,33,79,41,66,39,76,95,67,6,25,96,24,54,84,56,51,69,18,55
94,70,73,89,77,84,6,18,15,16,80,64,49,4,9,66,14,32,26,69,97,17,67,47,51,21,5,82,83,1,53,56,44,50,63,23,95,30,29,25,93,57,79,37,39,52,33,24,41,58,38,62,68,55,22,76,8,3,96,59,54,87,42,48,45,31,85,13,19,10,75,90,88,86,2,35,34,78,72,81,43,74,65,36,92,60,20,12,71,7,27,91,11,61,40,28,46
45,91,22,34,88,79,44,43,75,17,46,20,13,82,81,24,58,65,36,93,28,19,95,76,72,39,90,92,71,85,55,12,49,54,38,42,69,31,6,11,40,62,51,96,70,74,18,84,60,97,3,80,2,50,78,63,7,64,35,16,73,61,57,86,47,37,94,27,26,67,32,59,29,4,1,66,14,83,21,77,25,10,56,8,89,15,87,23,52,5,30,48,53,33,68,9,41
47,74,92,21,81,62,60,33,31,87,27,1,41,68,54,57,25,85,34,2,10,61,12,3,86,7,4,8,52,43,30,66,26,5,59,40,35,32,53,65,15,78,9,67,24,48,19,88,14,73,36,77,64,56,44,23,11,83,84,90,93,28,69,89,80,6,22,20,17,46,50,16,71,79,91,29,76,13,51,63,18,97,96,45,55,42,70,95,75,49,82,94,39,37,72,58,38
42,55,97,9,71,51,53,28,54,90,78,95,56,40,23,11,77,48,89,50,96,30,79,37,73,45,75,59,46,84,61,18,80,16,41,33,67,58,3,76,8,35,20,4,94,27,63,7,91,87,29,66,39,21,83,49,13,25,72,65,10,5,82,36,70,12,38,1,52,60,15,24,68,64,74,26,81,32,85,14,69,93,88,57,17,44,47,86,31,19,92,62,22,2,34,6,43
49,24,13,10,67,83,5,14,36,58,39,12,70,86,63,15,72,38,29,35,45,16,69,6,1,34,64,94,42,44,62,4,19,22,60,92,37,93,68,91,87,20,47,2,81,82,57,26,52,79,17,32,46,89,96,61,75,41,18,74,25,71,53,85,30,88,59,43,51,95,8,76,56,55,31,33,9,28,40,73,11,48,50,7,66,27,78,77,97,54,3,80,21,90,23,65,84
50,2,11,97,17,26,90,76,32,83,40,6,48,43,18,22,7,31,82,77,84,74,52,57,66,23,33,28,93,70,65,29,25,72,27,71,78,46,21,56,88,14,80,69,73,75,55,30,85,59,42,15,58,10,95,34,51,54,45,86,49,91,9,81,87,62,35,92,61,96,5,47,20,39,94,44,53,38,12,19,3,89,13,68,63,37,41,16,4,64,60,1,8,36,24,79,67
