# c-balanced sequence
# n=98
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
38,90,19,2,63,17,8,70,29,44,26,22,85,83,48,76,33,74,21,97,32,1,9,71,58,84,24,40,12,92,46,3,5,96,95,77,41,30,55,66,31,42,4,11,82,79,15,94,39,25,91,35,64,80,10,20,37,18,23,88,68,47,98,14,52,34,73,86,78,36,75,61,65,51,7,93,6,45,60,81,13,67,28,54,49,27,16,53,69,56,87,89,57,62,43,59,50,72
39,78,69,65,55,53,56,43,96,20,27,52,29,73,67,5,47,13,91,10,31,81,61,86,23,59,50,14,87,75,24,34,15,72,16,60,49,11,18,37,17,45,22,93,7,6,12,88,76,48,98,57,28,66,54,3,51,36,40,71,62,30,97,33,64,4,77,26,95,70,41,32,90,89,85,74,25,80,44,58,79,63,2,46,21,83,94,68,1,84,19,35,42,9,82,92,8,38
44,95,15,54,49,61,6,40,16,28,64,88,74,51,60,81,77,57,35,68,36,94,83,30,2,25,46,45,7,1,70,98,27,80,84,38,21,71,26,91,32,79,10,62,72,65,24,92,9,17,67,85,13,97,12,50,90,56,89,63,52,41,43,82,55,8,58,11,42,31,19,53,5,87,29,69,59,4,37,86,22,75,39,14,76,48,47,18,78,66,73,3,34,20,96,23,93,33
46,97,85,12,15,18,98,41,48,39,23,93,58,9,37,50,89,80,14,63,62,65,33,34,53,11,54,79,4,52,19,83,82,28,43,76,73,75,2,86,5,8,47,1,29,90,36,42,84,69,16,55,87,44,96,24,92,78,32,3,13,74,45,25,22,35,38,88,59,20,17,49,72,21,94,31,27,77,66,56,61,68,7,91,40,10,60,95,6,26,30,57,51,71,67,64,81,70
42,89,71,7,90,30,75,88,77,19,47,3,70,10,26,4,40,72,66,94,87,60,41,48,69,92,13,96,74,17,33,31,56,51,59,63,6,20,82,78,23,68,58,67,46,21,64,14,22,80,61,95,53,38,83,57,39,49,5,91,73,16,93,81,44,27,28,37,65,79,98,45,18,35,1,50,62,11,52,34,85,2,25,84,9,8,43,97,12,32,15,76,36,24,29,54,55,86
32,82,25,66,51,1,20,62,86,76,84,11,59,24,56,95,61,38,43,73,67,78,90,68,91,93,27,69,55,22,9,29,44,45,12,36,35,50,64,3,97,94,85,89,87,57,2,8,77,52,75,26,37,19,79,47,34,81,54,48,60,31,6,18,80,7,4,53,70,14,30,13,71,88,92,15,72,96,42,33,41,10,23,98,83,46,17,63,28,74,21,5,58,16,40,39,49,65
34,87,10,8,35,6,24,21,31,83,14,53,17,18,2,42,49,79,23,92,28,52,39,57,32,26,5,65,16,30,64,62,81,40,88,37,13,97,15,98,70,74,56,25,54,43,96,66,60,93,7,71,72,33,1,63,9,41,76,27,58,20,12,36,46,61,84,89,94,82,91,29,22,86,95,55,48,78,67,68,90,51,73,45,3,4,38,19,77,50,47,59,44,75,11,69,85,80
45,58,50,22,91,9,94,4,21,38,33,54,36,7,63,3,27,34,29,8,16,96,75,98,20,72,49,71,80,77,18,86,47,68,85,48,55,65,46,90,41,39,73,19,92,95,30,78,70,59,44,81,11,74,15,42,84,82,24,2,10,26,40,97,5,67,1,51,62,69,43,76,57,23,32,56,28,37,83,14,6,53,93,12,66,17,87,79,61,64,60,88,52,13,89,35,31,25
96,79,57,5,74,13,59,52,89,81,73,80,11,25,55,78,97,46,12,88,44,76,19,37,43,14,31,3,84,85,6,67,58,1,32,93,4,61,29,53,95,51,60,38,17,63,28,49,10,62,33,83,50,23,45,21,77,35,98,69,70,66,75,86,39,56,9,47,8,40,87,34,68,16,15,30,64,48,65,27,54,71,24,36,41,92,72,20,90,42,2,82,91,22,94,18,7,26
47,98,37,67,77,86,82,64,36,61,30,68,44,71,54,69,22,15,60,83,7,26,70,35,56,80,17,53,41,76,2,78,23,11,66,25,24,42,27,10,9,28,16,48,34,40,14,20,5,50,58,18,46,31,91,89,94,73,65,93,72,79,87,49,90,45,92,21,6,3,85,74,59,81,39,52,13,12,57,38,88,62,32,19,96,75,29,51,33,43,55,8,84,4,1,63,95,97
