# c-balanced sequence
# n=83
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
82,27,74,9,41,76,59,75,39,8,55,67,20,70,24,58,64,48,34,66,12,31,65,57,38,21,81,16,22,72,51,26,73,60,53,56,49,62,35,77,52,19,80,7,37,69,54,17,71,5,79,1,32,25,4,2,10,3,50,46,14,61,83,11,44,28,33,13,29,63,15,6,36,23,18,47,78,68,30,42,43,40,45
53,14,21,73,50,83,81,15,3,49,78,17,68,62,45,13,36,33,41,18,1,47,43,40,79,10,2,19,82,77,37,6,28,55,76,32,25,8,64,66,61,34,74,63,20,42,30,24,11,23,9,70,31,51,69,59,38,75,16,12,29,48,58,22,67,57,4,35,5,39,60,44,65,80,54,56,27,72,46,71,26,52,7
54,30,63,11,26,12,69,47,44,42,46,34,52,17,61,29,7,57,83,23,16,35,28,70,14,67,24,80,31,50,5,10,1,4,38,18,71,65,15,59,48,81,3,68,72,60,36,58,33,6,27,56,39,75,43,73,41,74,78,22,62,37,53,49,40,79,51,32,55,45,76,25,64,21,20,13,77,66,2,9,82,19,8
71,7,5,77,55,20,46,9,37,65,53,58,39,49,19,59,44,60,56,2,79,4,42,80,33,29,51,68,64,8,78,32,22,70,75,74,72,40,73,1,27,45,47,41,62,57,21,12,13,25,54,82,35,28,26,76,6,66,30,18,31,52,16,10,15,61,43,81,38,23,3,48,83,63,67,11,34,50,14,24,17,36,69
75,40,13,78,6,72,15,2,23,31,51,66,36,82,38,81,76,43,24,37,32,21,54,49,11,56,39,69,63,48,52,16,25,27,14,3,61,20,42,12,50,30,83,58,67,18,53,26,35,46,65,45,77,5,34,71,47,9,68,59,44,28,19,64,60,8,80,70,17,7,73,1,4,57,55,74,41,10,22,33,62,29,79
80,28,25,33,60,64,45,74,26,18,19,62,38,1,71,10,8,6,67,52,59,73,30,20,61,35,17,3,34,44,40,66,13,63,83,47,41,9,23,11,79,70,2,22,82,14,4,69,32,55,48,68,57,7,58,29,56,15,21,36,54,27,43,76,53,24,46,78,50,77,16,12,72,49,39,42,81,37,75,31,51,5,65
58,34,70,72,43,28,4,66,22,32,16,64,79,14,12,57,69,27,9,5,76,62,50,77,46,48,53,26,7,65,81,23,41,21,51,36,39,33,55,37,29,54,67,44,13,15,19,31,63,17,60,78,10,52,8,42,11,24,49,83,6,73,45,35,71,80,56,75,2,82,74,47,68,61,40,25,20,3,38,1,18,30,59
61,37,54,56,57,11,36,35,68,29,10,47,30,48,2,74,83,55,45,73,3,15,22,82,25,71,75,18,77,43,42,19,62,31,17,80,6,78,5,24,76,46,39,49,4,40,8,1,38,59,16,50,33,14,72,66,63,81,65,69,20,41,34,79,23,32,21,7,64,60,9,26,53,51,13,28,12,52,58,44,27,70,67
67,13,44,20,24,39,3,18,41,75,59,50,69,21,31,78,68,65,51,33,72,63,4,58,1,60,12,45,9,26,35,49,79,29,57,52,64,2,8,82,28,53,16,70,74,27,81,7,61,34,43,55,37,30,19,5,80,23,25,40,77,17,14,38,62,66,47,42,36,54,22,46,10,6,11,15,48,71,76,56,73,32,83
70,25,23,42,79,48,52,83,81,67,14,8,80,41,77,5,32,17,40,11,36,53,19,9,44,27,66,15,38,55,54,30,46,34,58,50,73,24,60,7,6,65,51,10,71,75,56,76,47,45,64,62,12,61,22,20,28,37,57,13,82,2,1,68,31,26,3,72,74,59,4,33,18,29,69,63,39,43,49,16,21,78,35
