# c-balanced Latin square
# n=87
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
42,59,66,19,3,70,80,60,50,52,53,71,9,83,56,79,6,76,58,29,78,10,46,77,55,32,65,74,33,30,27,63,38,87,12,62,37,1,35,23,44,8,24,17,67,14,25,18,51,72,48,22,68,82,13,26,7,57,15,40,45,86,5,31,4,75,69,49,73,28,41,39,54,84,43,21,2,81,20,34,61,11,64,85,47,36,16
43,85,82,49,11,57,33,81,78,17,4,37,69,75,64,28,40,34,14,27,31,65,5,87,22,39,51,2,20,54,52,18,9,26,29,3,10,15,72,13,86,6,84,70,47,63,41,46,73,76,36,24,83,23,21,48,16,25,38,53,42,67,12,80,71,56,66,61,32,8,74,1,59,62,55,35,7,77,58,68,60,50,45,44,30,19,79
44,58,79,72,16,85,55,45,68,25,24,35,21,46,62,66,38,84,67,12,47,83,60,23,2,11,86,69,48,41,77,82,40,20,73,57,81,78,18,33,80,7,75,36,74,59,31,64,32,71,1,19,56,61,49,42,28,30,34,5,37,29,54,8,39,50,26,70,65,27,52,43,87,4,14,76,63,22,10,3,15,53,6,13,51,9,17
45,43,63,84,35,59,65,41,87,44,76,13,39,32,12,3,36,21,61,50,54,6,1,42,26,5,15,31,7,14,8,51,56,70,4,19,17,47,28,9,71,58,22,66,53,77,30,16,57,68,2,62,52,10,85,27,74,37,20,79,69,55,23,60,46,73,72,34,11,64,24,82,81,25,83,18,49,80,38,29,86,48,75,67,33,40,78
46,22,10,71,17,23,27,73,26,72,29,15,34,53,8,48,77,80,30,86,18,75,9,52,16,37,66,64,6,38,87,68,24,67,42,79,11,25,39,61,54,49,43,83,59,35,40,55,19,60,33,70,50,84,5,51,4,45,81,2,3,74,65,13,44,47,82,7,76,85,20,63,12,58,28,78,56,32,69,36,41,14,21,57,1,62,31
47,30,1,74,31,18,7,67,38,20,14,33,51,57,73,2,55,82,13,49,19,40,34,4,79,56,63,28,59,81,78,65,76,52,60,22,83,48,36,29,5,27,69,23,85,87,62,21,42,12,61,3,11,58,41,35,75,44,80,66,43,32,64,16,25,9,10,17,53,45,6,15,8,50,86,71,84,70,46,72,39,54,24,37,26,77,68
61,12,64,39,25,28,81,11,5,56,32,54,7,36,41,9,15,60,85,69,80,29,53,62,3,17,70,84,58,21,43,75,33,16,50,71,14,44,46,37,1,24,2,45,26,38,72,10,8,67,6,65,22,34,86,47,78,68,73,77,49,82,87,76,48,31,18,23,79,13,57,55,30,20,40,74,66,51,19,59,63,35,42,83,27,4,52
49,8,4,77,69,83,24,58,37,42,27,62,20,78,74,86,22,72,43,54,23,57,48,13,68,47,50,19,53,35,31,10,25,55,6,45,70,66,82,84,51,3,63,41,76,52,9,44,15,40,64,79,17,29,46,56,71,39,32,7,59,1,33,85,18,14,38,30,75,21,80,65,36,60,67,12,26,87,61,2,16,73,34,28,81,5,11
75,34,70,32,5,50,52,76,71,82,59,66,65,40,10,77,16,39,26,11,63,46,74,45,64,67,83,44,18,86,36,17,79,2,1,68,85,73,12,30,4,60,20,62,81,7,55,48,28,58,80,78,54,38,25,14,61,21,6,87,57,19,51,35,27,84,29,37,22,24,69,42,3,72,31,47,13,43,41,56,33,9,8,23,53,15,49
78,19,21,37,60,79,47,51,28,3,31,6,23,44,1,42,84,33,87,38,41,14,71,81,30,72,61,49,29,40,80,15,32,35,75,24,27,86,8,34,55,74,57,13,56,65,11,73,17,50,9,43,69,20,53,63,70,59,22,12,16,26,52,68,83,67,36,77,25,4,5,2,48,64,39,45,62,85,54,82,18,66,46,76,58,7,10
52,36,2,80,9,48,63,26,35,68,46,58,16,4,13,45,51,56,59,25,62,67,8,20,24,12,85,22,73,76,69,7,66,74,53,49,54,21,32,87,15,64,42,33,5,34,39,6,82,37,30,77,47,71,31,18,23,3,83,28,27,41,70,72,40,10,81,86,43,14,78,11,29,61,75,19,57,55,1,84,44,17,65,79,50,38,60
