# c-balanced sequence
# n=81
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
60,32,44,35,34,31,79,70,37,68,20,22,18,39,58,64,53,21,72,54,36,49,6,40,66,42,7,23,76,9,55,26,25,80,71,69,12,57,13,5,4,17,74,61,78,81,2,65,45,56,51,10,62,27,47,29,77,52,41,59,50,33,3,14,24,38,30,75,46,8,73,1,48,15,11,43,63,28,19,16,67
80,11,12,17,50,56,57,27,21,42,49,4,9,59,48,41,1,30,8,45,33,62,64,25,14,55,16,3,2,44,37,19,72,22,81,73,43,67,53,52,63,38,77,28,40,54,46,34,47,60,68,15,13,32,75,24,35,58,18,7,20,31,74,51,6,5,39,10,71,66,79,26,36,29,65,78,69,23,61,70,76
65,13,20,81,26,38,15,78,7,46,76,63,19,71,6,35,10,16,69,4,61,28,68,11,74,77,43,5,24,40,75,31,52,51,58,1,39,23,66,62,42,34,67,80,55,59,36,21,29,70,79,8,18,50,9,56,22,30,25,48,2,14,57,60,41,27,54,12,3,32,53,64,37,47,45,49,73,72,33,17,44
66,14,3,13,41,54,23,36,33,10,34,79,25,72,51,17,67,5,2,42,48,18,9,53,47,73,59,30,71,27,57,60,70,29,32,45,24,19,50,49,37,6,11,56,44,20,76,12,75,26,62,64,39,28,81,43,68,69,78,40,65,61,46,15,16,80,63,22,52,1,35,77,4,55,31,74,8,7,21,38,58
73,22,45,60,64,74,61,1,24,75,28,46,49,40,55,31,39,52,77,80,12,63,29,44,58,3,33,50,8,6,36,47,7,68,4,79,65,21,41,54,14,15,69,30,23,35,18,53,71,66,16,78,57,10,67,37,38,43,34,72,13,70,42,56,17,76,81,51,62,26,20,59,11,19,48,2,25,5,27,9,32
59,9,21,65,25,78,16,81,15,62,70,11,57,29,43,56,26,32,37,18,23,51,74,39,69,30,13,22,38,20,12,46,61,35,48,2,64,3,76,27,10,71,63,72,8,58,1,33,17,7,77,42,60,31,19,80,4,44,55,14,49,5,53,54,45,75,28,73,47,67,34,68,50,40,24,79,41,36,6,66,52
4,37,18,53,19,27,8,5,66,72,52,38,54,76,2,68,7,14,73,32,44,20,79,62,50,67,48,40,56,81,34,80,49,55,26,17,77,28,47,59,65,75,70,9,51,31,45,43,22,11,41,23,36,1,63,74,25,6,24,33,69,10,16,64,35,78,21,57,61,30,3,13,58,42,39,29,71,60,15,46,12
67,69,6,80,24,71,29,40,22,36,30,12,41,33,45,46,3,47,28,57,1,35,75,17,10,11,34,58,21,72,39,53,42,15,70,19,25,31,78,64,13,26,62,16,60,61,50,27,2,5,52,55,48,59,65,54,66,79,8,23,73,76,32,44,74,77,9,20,4,63,14,7,49,43,38,56,18,81,37,68,51
64,35,42,58,20,51,68,77,43,23,15,56,31,61,5,60,50,55,74,59,76,34,45,16,49,4,6,41,78,18,8,54,1,57,63,66,7,44,36,9,46,52,79,38,53,39,73,81,37,24,30,32,14,25,12,21,27,19,11,3,71,47,13,67,29,40,26,48,33,72,10,17,69,2,75,80,65,70,22,28,62
70,25,7,52,67,63,48,62,17,14,19,81,44,79,37,13,69,61,75,26,27,38,66,60,21,65,71,12,28,43,76,9,73,10,33,30,41,20,32,16,74,29,68,35,2,5,3,4,6,46,40,47,49,72,77,39,53,51,42,22,45,24,80,58,36,15,18,8,54,78,11,31,56,34,50,1,64,59,23,57,55
78,24,2,39,9,10,75,26,3,16,47,42,55,65,49,21,54,58,13,53,8,73,36,46,31,63,14,1,32,77,23,56,40,64,11,22,50,37,34,12,80,72,59,57,48,67,70,51,15,25,18,81,38,7,20,69,17,29,62,68,30,19,28,4,71,52,60,74,27,43,5,41,33,76,66,6,44,61,45,35,79
72,33,27,11,44,4,30,50,79,41,71,68,35,22,32,59,6,48,51,78,7,52,24,81,5,19,62,47,80,29,15,45,74,3,31,60,55,18,25,28,40,23,73,42,43,69,66,56,54,49,61,17,76,58,57,34,36,26,37,46,64,75,2,21,39,70,53,1,38,65,12,8,16,10,63,13,14,9,67,77,20
74,38,49,56,73,53,28,76,34,12,1,66,43,64,8,80,77,40,15,16,25,54,33,57,70,2,39,17,69,51,52,27,75,67,65,5,10,58,81,11,21,20,36,13,4,29,41,26,48,14,63,45,71,44,55,42,50,9,61,60,35,79,62,31,68,19,6,59,37,7,22,47,24,23,3,46,32,78,30,18,72
62,31,46,29,59,18,60,39,55,57,8,17,47,63,9,71,23,36,20,19,70,2,72,37,78,25,24,66,61,42,35,13,6,38,77,51,14,79,45,22,7,5,32,15,75,74,30,68,76,64,65,34,33,80,41,3,10,1,16,12,58,43,81,49,69,67,56,50,44,48,40,27,54,28,26,52,21,11,73,53,4
10,40,48,32,45,69,58,80,4,61,5,21,3,23,50,15,11,63,68,81,14,67,41,28,43,64,79,37,46,26,7,30,44,18,53,54,49,71,33,17,24,56,47,12,6,19,55,78,8,35,1,27,9,22,52,73,72,70,65,39,66,29,59,38,20,13,34,77,2,76,25,75,60,57,62,51,16,42,74,36,31
54,26,19,30,12,52,13,20,67,18,6,51,36,75,27,65,22,76,29,9,10,4,42,34,56,38,44,60,74,68,3,59,62,23,16,61,72,1,73,57,39,66,78,50,11,24,40,77,31,58,28,2,37,79,46,8,14,47,63,21,53,25,48,7,32,33,43,69,70,80,15,55,45,64,81,35,5,17,71,41,49
1,28,34,55,5,6,2,38,31,45,58,77,7,14,53,72,70,57,41,64,65,30,22,13,27,75,35,49,33,16,79,81,71,43,76,46,80,62,26,69,48,44,8,21,37,63,17,60,36,20,74,73,4,51,18,61,32,59,15,56,52,54,50,12,23,25,68,11,29,42,39,9,66,78,67,19,40,10,3,24,47
61,17,50,36,47,66,35,56,73,60,40,37,20,16,78,81,42,24,43,39,3,11,32,48,8,52,9,45,19,4,25,2,21,69,12,27,29,59,68,67,53,54,49,33,71,28,62,72,13,10,75,70,6,15,23,64,31,7,5,74,44,34,1,55,22,14,46,41,58,51,18,57,79,77,30,76,38,80,26,63,65
77,23,15,76,42,70,49,44,25,69,74,48,62,1,18,12,33,31,79,46,71,55,21,59,7,51,54,53,57,65,11,58,32,47,34,40,52,63,60,43,19,41,45,64,10,22,9,38,80,3,50,66,56,35,16,78,2,75,81,67,27,26,8,72,30,61,24,5,17,28,36,6,73,14,20,37,4,68,29,13,39
63,79,41,68,37,22,72,11,9,29,13,10,26,34,4,30,74,35,66,56,69,50,80,15,1,20,36,31,67,64,14,5,28,78,39,8,6,38,75,61,51,3,81,27,46,25,23,32,59,21,19,53,54,24,62,45,60,76,77,57,17,18,40,65,73,47,42,55,49,16,71,52,44,70,7,12,33,58,43,48,2
71,16,8,51,21,3,33,64,59,78,27,2,80,52,67,38,25,17,62,60,5,58,12,23,18,68,72,55,73,22,48,50,24,37,36,9,42,35,30,70,77,31,76,14,65,47,7,44,57,39,69,43,29,26,40,49,13,20,4,28,41,6,11,63,10,66,79,45,81,19,46,32,74,61,53,15,54,56,75,1,34
57,81,43,75,14,7,46,65,53,54,32,39,24,28,73,19,44,45,49,47,6,40,61,77,26,76,29,10,63,70,41,66,17,20,13,56,74,15,4,2,55,58,1,18,34,79,52,16,42,67,12,11,68,5,30,33,48,71,38,80,36,51,78,37,9,3,31,35,64,23,62,72,21,59,22,27,60,69,25,8,50
