# c-balanced Latin square
# n=73
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
43,2,56,30,9,46,29,10,60,8,5,17,23,44,40,51,31,48,38,28,22,54,55,11,73,64,19,25,68,36,70,52,53,14,16,4,49,65,18,66,39,15,45,58,69,57,33,34,61,6,72,1,35,63,47,13,62,50,3,71,12,41,59,42,32,26,20,27,24,37,7,21,67
41,15,53,24,4,54,61,20,26,28,34,63,16,68,49,32,13,64,33,3,58,19,62,29,7,31,72,35,9,37,44,40,12,21,71,47,30,50,10,56,67,5,59,8,42,73,51,25,52,48,45,11,60,23,39,27,17,46,66,43,36,70,2,57,18,14,1,38,69,22,55,65,6
42,1,57,14,27,21,59,5,70,51,43,7,69,73,18,12,45,37,6,47,66,50,15,8,20,67,11,10,58,65,39,54,2,25,38,3,48,46,34,22,35,9,64,17,32,68,24,62,36,60,29,4,56,26,71,55,72,41,53,23,49,13,40,44,61,28,63,19,30,16,31,33,52
61,36,55,65,13,32,2,12,52,64,31,48,22,27,62,24,67,53,72,60,30,40,71,35,16,50,49,42,26,1,41,17,20,66,11,23,69,7,51,28,63,6,44,3,4,19,10,54,59,15,47,21,33,57,18,70,37,14,56,34,58,43,73,68,38,8,9,46,29,25,5,39,45
44,26,17,72,63,68,39,23,6,73,48,65,66,8,58,25,34,4,5,56,70,36,3,47,41,43,38,21,59,46,71,31,51,24,57,37,19,55,1,45,52,27,29,33,14,40,18,28,7,49,69,61,9,30,2,10,16,11,54,42,20,22,60,50,35,15,67,53,62,13,12,32,64
60,19,45,29,55,40,38,50,54,1,56,46,67,69,57,11,41,35,49,10,14,2,9,39,70,48,32,33,62,18,28,13,44,15,43,61,22,72,42,25,53,68,26,30,36,16,64,65,12,5,66,73,27,58,20,51,52,63,31,8,24,59,37,21,7,34,4,17,6,3,71,47,23
58,9,3,64,37,66,15,7,21,42,10,53,29,14,20,33,28,27,18,24,16,51,63,30,23,69,61,12,52,8,32,34,4,60,73,49,59,47,2,17,36,50,71,11,35,13,55,31,46,41,62,22,6,68,40,1,45,67,39,26,38,5,56,25,65,19,48,57,44,72,54,43,70
47,11,16,33,22,70,18,73,4,62,30,59,61,71,72,46,43,40,57,17,7,52,68,53,26,45,25,54,20,29,19,3,5,64,63,13,56,24,6,58,31,44,23,38,34,65,2,37,39,67,42,32,8,15,69,21,36,48,60,28,35,55,10,12,49,41,27,51,1,9,66,50,14
49,10,23,34,26,28,71,36,35,13,39,25,19,55,6,38,66,54,62,31,44,8,1,56,27,65,37,14,51,22,5,42,48,30,9,45,67,15,4,41,21,46,18,70,12,60,72,53,43,57,24,50,17,29,3,32,33,59,2,7,47,40,64,63,68,16,61,73,52,11,69,20,58
50,5,8,51,31,7,41,67,69,32,3,12,17,47,2,9,15,63,20,11,52,65,38,21,58,34,60,57,73,64,55,35,59,16,10,68,70,14,40,33,62,43,1,54,39,48,26,27,56,13,61,25,30,49,6,22,19,53,18,44,66,46,4,72,37,23,45,42,71,28,36,29,24
53,12,4,48,6,49,25,37,43,44,2,24,60,64,50,45,22,32,1,29,36,59,72,42,68,55,46,13,23,41,40,61,67,38,27,17,39,71,11,73,69,16,10,28,7,66,47,63,5,58,35,70,52,3,19,20,65,57,30,21,51,14,9,18,54,33,31,26,8,56,15,62,34
56,27,58,59,30,65,14,24,51,68,18,33,52,35,39,21,70,71,42,61,26,31,19,28,15,57,63,4,49,47,6,66,69,7,50,62,8,36,54,37,12,3,72,25,20,29,44,9,45,73,67,34,2,41,13,11,38,23,64,17,32,16,1,53,48,46,22,43,55,40,10,5,60
54,21,11,20,69,60,57,72,67,40,45,23,5,46,19,48,16,3,56,13,73,37,44,10,66,18,9,34,2,17,43,53,26,1,29,28,51,58,38,61,32,47,49,22,52,15,59,8,14,68,64,33,7,55,31,12,25,4,71,6,62,50,36,24,27,63,35,70,65,39,42,30,41
52,17,43,66,70,29,1,16,38,14,62,9,58,63,34,47,42,8,30,39,41,25,6,24,22,36,23,64,7,32,72,12,33,65,56,35,31,26,19,5,20,55,53,50,21,51,71,11,69,40,10,18,4,46,60,48,54,28,73,27,15,57,67,61,44,3,2,13,49,68,45,59,37
40,13,61,68,2,64,73,22,41,55,4,28,53,54,31,37,10,5,15,35,20,45,49,33,62,12,71,44,39,3,50,21,27,46,18,70,57,60,63,34,48,65,24,56,67,6,23,30,42,1,19,29,36,59,72,16,43,26,38,14,9,69,58,8,52,47,32,11,7,17,25,66,51
46,7,42,32,19,8,30,63,15,6,26,36,3,51,61,27,59,69,13,65,67,43,14,48,25,40,54,1,38,58,11,60,10,52,2,55,53,68,64,23,49,66,9,4,45,31,39,17,41,71,16,44,24,21,37,62,70,29,47,35,33,12,34,28,56,50,5,20,72,73,57,22,18
62,28,18,71,25,44,56,35,47,27,11,32,50,65,41,55,72,17,7,22,12,34,4,67,9,29,5,36,70,24,45,30,73,37,69,14,16,33,59,46,26,8,42,40,57,61,43,15,54,20,52,49,23,48,66,63,31,51,68,13,64,19,3,39,58,21,60,6,38,2,53,10,1
63,20,10,73,24,23,21,49,9,72,29,42,57,33,16,52,1,60,68,51,18,53,64,50,11,47,66,37,56,31,48,8,19,4,39,15,44,3,30,27,2,22,12,6,43,70,32,58,13,34,28,38,62,14,45,7,5,17,25,41,54,71,65,69,36,59,55,40,35,26,67,61,46
48,34,5,40,39,36,31,44,45,17,66,8,43,70,60,54,2,38,26,46,57,21,58,59,6,61,16,69,28,14,68,22,71,62,20,25,42,13,67,7,64,41,52,51,47,27,35,3,55,63,56,37,53,50,65,15,1,18,49,10,73,72,11,23,4,30,29,9,32,24,33,12,19
59,33,50,53,38,37,69,13,30,12,58,71,39,9,1,64,49,24,23,19,55,10,32,2,3,35,52,29,16,15,51,46,11,54,41,72,6,17,57,65,18,25,21,66,73,62,36,60,26,4,14,28,68,22,5,67,61,44,42,40,56,20,7,43,45,70,34,8,63,27,47,31,48
57,14,15,62,1,3,65,68,56,7,70,61,31,26,67,4,25,73,48,53,23,28,27,40,8,33,20,18,43,30,59,47,63,35,5,24,34,45,32,29,50,58,36,19,10,38,46,2,72,11,9,54,39,12,17,69,42,22,52,55,60,6,66,71,51,13,49,64,37,41,21,44,16
45,35,41,54,67,72,52,46,34,20,22,19,18,11,66,63,6,47,28,4,71,13,5,69,51,42,73,17,55,12,36,65,9,49,21,32,43,56,70,44,60,37,14,16,1,30,7,48,64,8,59,57,31,10,24,58,40,27,33,61,39,26,62,29,2,25,68,50,15,53,23,38,3
55,22,6,12,43,16,27,2,10,49,21,64,20,38,36,14,44,29,58,32,50,39,41,37,60,56,26,31,71,13,7,23,15,34,53,66,40,61,48,68,11,63,67,62,24,3,17,1,33,25,51,5,45,73,35,46,47,8,19,69,18,42,70,30,9,57,65,54,4,59,52,28,72
