# c-balanced sequence
# n=68
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
1,27,54,65,10,20,51,6,42,8,38,32,9,17,36,23,47,16,67,12,49,62,18,66,50,64,28,61,45,33,22,30,44,11,2,13,46,26,24,58,53,52,59,25,37,31,57,48,5,4,60,43,15,34,41,68,7,63,21,29,14,55,56,39,19,35,3,40
53,9,7,57,41,40,62,26,31,45,60,19,10,43,48,51,63,37,30,24,5,6,35,61,55,8,21,59,32,29,4,15,34,68,44,3,39,54,66,14,42,16,38,46,22,18,23,47,36,56,12,2,67,33,1,11,20,28,49,64,50,13,25,65,52,58,27,17
39,46,47,28,11,4,22,23,3,65,67,52,21,64,34,62,29,33,13,14,56,17,54,68,2,16,25,20,42,41,58,35,26,40,27,5,48,12,50,60,37,9,55,30,57,49,6,66,1,44,51,7,63,18,31,19,45,38,32,61,10,8,36,59,24,43,15,53
55,17,35,58,45,2,25,12,43,7,24,66,56,31,18,60,59,61,49,32,48,44,36,46,27,30,19,51,13,53,67,23,38,57,14,10,1,52,28,15,8,11,63,64,33,40,54,65,39,29,47,34,50,6,20,16,41,4,3,5,68,42,21,26,62,37,9,22
50,8,38,15,5,61,1,68,44,40,42,33,29,27,16,53,26,4,39,57,41,47,45,3,18,58,37,52,65,62,34,9,20,63,6,21,49,17,22,19,56,48,43,10,28,25,7,13,59,64,11,14,54,32,36,51,66,2,24,60,23,35,55,46,31,30,67,12
51,23,13,30,63,64,36,34,14,54,35,37,6,28,12,15,19,11,21,42,22,66,7,31,67,59,2,5,44,50,56,17,55,60,47,41,24,43,46,68,32,20,45,26,58,65,16,62,27,3,10,52,61,53,8,48,57,25,40,39,1,9,38,33,29,4,49,18
57,24,48,55,62,32,41,25,60,53,16,63,18,46,10,1,3,52,65,38,34,20,27,43,12,9,49,8,11,7,39,36,31,51,42,33,45,30,40,4,67,21,29,44,61,19,17,68,14,37,5,64,35,59,23,13,22,15,54,28,26,58,50,66,56,6,2,47
49,33,22,8,29,56,37,2,67,19,4,64,57,20,58,61,36,35,68,9,28,25,50,40,14,52,39,54,47,10,26,7,66,13,1,65,62,23,53,18,59,6,5,51,24,15,3,32,30,41,46,38,42,21,27,55,12,17,45,34,43,31,63,16,11,44,60,48
6,3,44,46,26,66,47,17,13,9,31,45,5,40,11,27,50,55,59,54,30,23,24,15,21,51,60,38,63,32,43,53,64,8,48,16,29,61,25,52,2,35,39,36,12,34,56,33,67,22,58,49,28,7,4,62,18,65,20,42,37,57,10,1,41,14,68,19
67,21,12,43,68,59,10,58,49,22,28,39,30,32,29,65,7,56,5,53,6,18,41,33,17,42,48,16,23,38,3,1,2,37,20,15,4,19,57,34,55,47,14,31,11,50,45,8,60,63,26,44,66,62,25,40,24,64,9,35,36,54,52,61,27,51,46,13
60,19,52,27,42,34,18,50,36,26,20,51,48,25,63,43,64,2,66,4,37,14,10,1,35,57,33,62,58,24,31,61,12,9,46,11,28,41,32,17,13,54,49,15,6,21,22,40,55,68,65,29,16,45,38,30,39,59,44,47,8,67,5,53,3,7,56,23
11,31,14,39,24,65,35,61,15,23,68,1,38,41,3,8,13,54,47,16,46,40,29,26,62,44,55,67,6,5,45,18,22,59,49,12,57,10,56,7,36,58,42,9,27,66,53,4,2,19,50,25,30,60,43,21,37,52,51,48,33,32,64,28,17,34,20,63
59,54,45,56,53,52,7,4,48,55,2,34,14,62,44,33,21,51,17,8,13,12,60,19,36,32,50,68,22,66,40,63,28,30,25,35,27,67,38,3,64,26,37,16,20,42,1,18,61,43,23,9,31,10,29,47,5,46,58,6,15,39,41,49,57,65,24,11
41,10,16,7,38,57,28,20,30,46,17,58,49,67,47,42,32,24,22,11,39,9,53,64,37,45,65,29,21,13,15,27,6,61,43,51,44,35,1,5,31,23,8,48,62,60,63,25,52,34,33,3,12,19,14,56,54,36,50,55,4,40,2,68,18,66,59,26
63,32,5,9,60,6,16,40,37,62,18,15,36,2,56,66,30,25,23,26,64,57,49,28,11,31,3,4,19,59,68,54,58,52,34,55,50,14,33,65,24,41,22,17,13,43,46,51,20,48,67,39,1,47,44,35,42,7,27,38,21,53,45,12,8,61,29,10
25,61,1,50,43,21,27,38,33,66,3,65,44,55,35,5,45,18,63,31,19,52,67,20,34,10,7,12,28,51,48,8,14,39,56,60,68,47,42,29,46,4,40,53,54,64,26,37,57,6,59,24,41,11,2,15,58,13,16,22,49,17,23,30,9,62,32,36
64,26,20,51,22,12,54,9,29,6,47,8,13,24,59,46,48,40,58,61,35,68,42,30,4,15,53,36,27,37,44,41,21,23,17,18,66,16,49,62,63,10,7,65,2,39,28,11,38,45,32,56,57,5,52,33,43,67,14,25,3,34,60,19,50,31,55,1
62,29,42,23,47,19,39,53,41,52,43,12,11,4,17,57,49,34,36,1,7,32,56,5,25,46,14,64,2,60,55,10,50,24,38,54,58,9,13,51,45,44,33,3,67,59,30,31,21,15,27,18,68,22,65,6,8,61,26,66,63,20,48,37,40,16,28,35
68,28,37,17,33,31,44,63,51,1,10,27,22,23,39,14,67,60,15,50,21,58,8,16,6,66,40,18,30,57,20,29,65,3,45,26,2,59,11,43,61,25,19,52,55,35,9,24,7,54,13,4,36,48,49,32,34,53,41,12,56,46,62,47,42,38,64,5
65,34,4,36,13,48,55,45,32,56,25,61,42,54,52,37,38,41,62,27,3,2,59,63,47,24,43,26,49,9,16,46,5,19,53,7,22,8,6,30,28,60,1,68,14,29,58,10,12,35,66,40,20,64,50,17,31,23,57,11,18,51,44,67,15,39,33,21
66,30,18,35,49,67,46,24,64,59,57,7,26,19,9,31,6,20,43,29,45,51,38,22,39,61,41,1,17,25,11,62,33,32,36,40,63,15,48,21,12,50,34,56,23,47,5,44,16,53,42,8,37,55,28,3,60,68,10,2,65,27,14,13,4,54,58,52
58,15,2,40,3,14,8,11,5,21,50,60,16,53,68,28,10,12,44,33,65,55,48,13,54,23,56,34,35,52,42,47,4,67,31,64,37,20,39,27,66,57,18,32,38,41,36,49,17,62,61,51,26,46,63,9,1,19,29,30,24,59,7,6,22,25,43,45
