# c-balanced Latin square
# n=96
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
38,71,15,7,5,8,48,50,87,96,58,4,78,30,62,36,22,10,53,95,26,86,24,46,54,19,72,34,21,41,91,60,16,20,94,18,9,3,68,29,42,32,81,40,13,39,57,66,83,79,52,31,88,67,33,90,35,43,55,61,45,14,47,85,12,73,37,93,80,11,28,70,89,92,82,77,65,63,49,74,76,2,84,69,25,59,1,44,27,64,6,23,51,56,17,75
39,74,67,84,34,82,6,92,69,27,23,76,60,42,38,2,70,89,90,3,75,55,45,66,51,65,80,77,33,1,57,17,26,43,16,44,47,12,81,4,15,28,22,49,71,11,73,40,63,56,5,25,18,93,21,54,19,68,64,59,29,86,62,87,41,48,8,91,52,94,96,20,32,35,7,36,61,53,85,46,14,58,88,37,30,31,78,79,13,10,9,24,95,50,72,83
40,80,3,55,35,83,93,9,59,7,47,54,63,31,24,94,72,11,13,37,79,58,29,32,39,61,14,96,6,64,85,53,10,25,48,73,42,88,56,49,95,82,36,8,30,87,75,46,65,77,78,51,50,66,52,69,76,27,4,28,57,22,34,23,17,67,33,2,89,44,71,84,38,16,1,68,26,81,12,5,90,18,21,86,15,20,19,43,92,74,70,41,62,60,91,45
41,78,21,22,90,51,46,70,86,13,12,95,85,33,73,56,5,91,68,81,20,87,62,37,44,17,36,8,79,52,28,23,50,76,15,38,89,25,19,2,53,45,14,88,92,31,43,72,84,74,35,27,32,16,60,61,39,94,1,80,26,75,24,3,30,18,40,9,10,83,58,42,64,67,69,11,29,59,71,55,65,6,7,63,66,47,93,4,54,34,49,82,48,77,57,96
42,77,75,57,61,30,66,62,28,17,16,84,68,49,18,43,8,26,82,92,88,34,50,47,10,63,2,83,27,71,45,4,35,69,86,58,67,24,74,1,93,6,7,59,90,64,20,48,41,70,29,9,55,53,65,14,91,25,21,44,81,96,33,11,72,5,54,13,79,56,51,15,85,94,76,95,60,31,32,37,3,22,19,52,23,46,80,39,12,40,36,78,87,38,89,73
43,72,31,20,2,54,36,29,95,76,64,40,71,9,15,21,67,19,80,48,74,65,18,56,23,11,52,59,94,66,81,63,39,32,87,96,85,55,27,91,60,77,78,89,5,1,22,93,3,12,37,82,79,38,92,7,62,10,44,73,46,49,51,50,58,84,69,45,4,86,34,47,26,6,75,13,88,17,70,83,57,8,24,53,16,30,90,41,61,33,42,28,14,68,25,35
44,88,12,53,4,52,41,89,96,49,25,51,10,35,79,28,39,55,24,32,73,69,93,60,74,33,75,58,78,5,14,30,7,65,90,59,22,29,13,46,8,70,54,18,17,61,15,36,34,6,26,80,47,87,57,31,40,9,42,2,37,83,48,68,64,16,77,85,19,95,43,63,27,86,23,50,38,72,66,67,91,71,45,11,92,62,82,56,20,84,81,94,76,3,1,21
45,87,69,19,32,58,11,33,22,56,50,3,48,94,14,66,6,27,1,67,57,42,38,12,82,31,70,46,40,26,77,47,68,92,72,61,53,64,80,23,83,51,84,62,37,16,86,24,81,10,4,91,71,85,17,59,63,13,41,95,52,20,36,78,29,35,76,15,21,8,30,25,90,5,39,2,54,9,96,28,34,93,49,73,89,60,65,75,43,55,79,88,18,7,74,44
46,86,96,60,37,23,8,81,73,26,57,83,61,92,88,17,91,7,34,63,16,76,85,43,5,4,13,3,9,2,62,84,95,21,54,40,78,20,30,90,28,12,50,58,68,35,42,25,39,38,44,49,75,45,11,1,82,65,89,67,79,74,18,70,80,31,71,10,24,59,93,87,36,55,14,41,19,56,48,94,33,77,51,15,53,27,22,72,6,32,52,29,69,47,66,64
47,93,24,14,15,59,64,16,91,38,77,65,6,70,45,75,84,20,86,25,51,9,7,89,71,41,90,1,29,49,44,19,18,31,36,56,57,87,79,76,10,21,52,27,48,69,55,54,33,2,34,94,73,40,30,8,28,23,32,72,88,66,39,42,22,53,96,17,3,60,74,82,61,58,12,62,92,43,68,35,80,81,50,78,85,95,37,67,83,63,5,13,26,4,46,11
